message_id,latency,producer_id,timestamp
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023831712_6051,1.6705036163330078,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023833.3835368
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023832715_1022,1.6189603805541992,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023834.3345022
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023833717_1718,1.6353776454925537,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023835.353374
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023834720_5393,1.601818323135376,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023836.3224442
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023835722_1483,1.5485427379608154,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023837.2718525
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023836725_5444,1.4978153705596924,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023838.2234583
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023837727_8791,1.4260385036468506,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023839.1542203
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023838730_8939,1.5025238990783691,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023840.2333117
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023839732_3203,1.5928740501403809,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023841.3260534
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023840735_3900,1.542494535446167,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023842.2781181
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023841737_8473,1.4744067192077637,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023843.2125354
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023842739_4598,1.4068751335144043,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023844.1470811
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023843742_5408,1.3611233234405518,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023845.1038258
a98f6906-34ef-4a3c-b30f-622b7fd9874c_1731023844744_2505,1.3266758918762207,a98f6906-34ef-4a3c-b30f-622b7fd9874c,1731023846.0717993
